x,y_obs,weight,y_calc,y_bkg,Q
7.9698,159.335,0.0062761,154.18,146.948,2.11324
7.9888,159.427,0.00627247,154.027,146.996,2.11827
8.00781,159.429,0.00627239,153.902,147.045,2.1233
8.02681,158.893,0.00629354,153.805,147.095,2.12833
8.04581,158.175,0.00632211,153.736,147.145,2.13336
8.06482,157.984,0.00632975,153.695,147.196,2.13839
8.08382,157.891,0.00633346,153.687,147.247,2.14342
8.10282,157.939,0.00633155,153.716,147.3,2.14845
8.12183,157.439,0.00635165,153.793,147.353,2.15348
8.14083,157.235,0.00635992,153.936,147.406,2.15851
8.15983,156.935,0.00637208,154.174,147.46,2.16354
8.17884,156.598,0.00638579,154.55,147.515,2.16857
8.19784,156.048,0.00640829,155.114,147.571,2.1736
8.21684,155.626,0.00642565,155.919,147.627,2.17863
8.23585,155.371,0.0064362,156.989,147.684,2.18366
8.25485,155.729,0.00642143,158.269,147.742,2.18869
8.27385,155.908,0.00641405,159.511,147.8,2.19372
8.29286,155.777,0.00641943,160.219,147.859,2.19875
8.31186,155.874,0.00641543,159.983,147.919,2.20378
8.33086,155.831,0.00641722,158.986,147.979,2.20881
8.34987,156.06,0.0064078,157.758,148.04,2.21384
8.36887,156.14,0.00640451,156.661,148.101,2.21887
8.38787,156.275,0.00639896,155.818,148.164,2.2239
8.40688,156.615,0.00638509,155.229,148.227,2.22892
8.42588,156.831,0.00637629,154.849,148.29,2.23395
8.44488,156.47,0.00639102,154.624,148.355,2.23898
8.46389,156.301,0.0063979,154.506,148.42,2.24401
8.48289,155.75,0.00642053,154.46,148.486,2.24904
8.50189,155.586,0.0064273,154.462,148.552,2.25407
8.52089,155.763,0.00642001,154.497,148.619,2.2591
8.5399,156.485,0.0063904,154.558,148.687,2.26413
8.5589,157.091,0.00636575,154.639,148.755,2.26916
8.5779,157.702,0.00634106,154.737,148.825,2.27418
8.59691,158.226,0.00632009,154.85,148.894,2.27921
8.61591,158.535,0.00630774,154.976,148.965,2.28424
8.63491,158.33,0.00631593,155.114,149.036,2.28927
8.65392,158.267,0.00631842,155.264,149.108,2.2943
8.67292,158.383,0.00631382,155.425,149.181,2.29933
8.69192,158.495,0.00630934,155.598,149.254,2.30435
8.71093,158.31,0.0063167,155.781,149.328,2.30938
8.72993,158.121,0.00632428,155.975,149.403,2.31441
8.74893,158.665,0.00630259,156.18,149.478,2.31944
8.76794,159.2,0.00628141,156.397,149.554,2.32447
8.78694,159.385,0.00627411,156.625,149.631,2.32949
8.80594,159.457,0.00627128,156.865,149.709,2.33452
8.82495,159.641,0.00626407,157.117,149.787,2.33955
8.84395,160.279,0.00623913,157.383,149.866,2.34458
8.86295,160.445,0.00623265,157.663,149.946,2.3496
8.88196,160.277,0.00623922,157.957,150.026,2.35463
8.90096,160.035,0.00624862,158.267,150.107,2.35966
8.91996,160.525,0.00622957,158.593,150.189,2.36469
8.93897,161.248,0.00620162,158.936,150.272,2.36971
8.95797,161.284,0.00620025,159.298,150.355,2.37474
8.97697,161.485,0.00619251,159.68,150.439,2.37977
8.99598,161.682,0.00618497,160.084,150.524,2.3848
9.01498,162.174,0.00616621,160.511,150.61,2.38982
9.03398,162.661,0.00614776,160.963,150.696,2.39485
9.05299,163.061,0.00613266,161.442,150.783,2.39988
9.07199,163.235,0.00612613,161.951,150.871,2.4049
9.09099,163.832,0.00610381,162.492,150.959,2.40993
9.11,164.067,0.00609508,163.068,151.049,2.41496
9.129,164.388,0.00608316,163.684,151.139,2.41998
9.148,164.689,0.00607207,164.341,151.229,2.42501
9.16701,165.326,0.00604866,165.046,151.321,2.43004
9.18601,166.145,0.00601884,165.802,151.413,2.43506
9.20501,166.527,0.00600502,166.616,151.506,2.44009
9.22402,166.991,0.00598836,167.494,151.6,2.44512
9.24302,167.217,0.00598025,168.443,151.695,2.45014
9.26202,167.664,0.00596433,169.473,151.79,2.45517
9.28103,168.63,0.00593015,170.593,151.886,2.4602
9.30003,169.664,0.00589402,171.815,151.983,2.46522
9.31903,170.493,0.00586534,173.154,152.081,2.47025
9.33804,171.122,0.0058438,174.624,152.179,2.47527
9.35704,172.046,0.0058124,176.246,152.278,2.4803
9.37604,173.17,0.00577467,178.042,152.378,2.48533
9.39505,174.453,0.00573219,180.04,152.479,2.49035
9.41405,175.767,0.00568934,182.275,152.581,2.49538
9.43305,177.431,0.00563598,184.789,152.683,2.5004
9.45206,179.055,0.00558488,187.633,152.787,2.50543
9.47106,181.049,0.00552337,190.874,152.891,2.51045
9.49006,183.468,0.00545054,194.598,152.995,2.51548
9.50906,187.028,0.00534679,198.917,153.101,2.5205
9.52807,190.859,0.00523948,203.974,153.208,2.52553
9.54707,196.139,0.00509843,209.956,153.315,2.53055
9.56607,202.303,0.00494307,217.103,153.423,2.53558
9.58508,210.256,0.0047561,225.713,153.532,2.5406
9.60408,220.844,0.00452808,236.156,153.641,2.54563
9.62308,234.47,0.00426494,248.869,153.752,2.55065
9.64209,253.345,0.00394719,264.35,153.863,2.55568
9.66109,276.328,0.00361889,283.132,153.975,2.5607
9.68009,307.622,0.00325075,305.711,154.088,2.56573
9.6991,342.626,0.00291863,332.408,154.202,2.57075
9.7181,382.725,0.00261284,363.064,154.317,2.57578
9.7371,421.267,0.00237379,396.541,154.432,2.5808
9.75611,452.561,0.00220965,430.076,154.549,2.58583
9.77511,470.422,0.00212575,458.956,154.666,2.59085
9.79411,474.469,0.00210762,477.442,154.784,2.59588
9.81312,468.149,0.00213607,481.391,154.903,2.6009
9.83212,455.244,0.00219663,470.866,155.023,2.60592
9.85112,439.627,0.00227466,450.114,155.143,2.61095
9.87013,422.572,0.00236646,424.898,155.264,2.61597
9.88913,405.863,0.00246389,399.905,155.387,2.621
9.90813,389.403,0.00256803,377.813,155.51,2.62602
9.92714,373.95,0.00267415,359.617,155.634,2.63104
9.94614,360.214,0.00277613,345.265,155.758,2.63607
9.96514,347.522,0.00287752,334.151,155.884,2.64109
9.98415,335.108,0.00298411,325.435,156.011,2.64611
10.0031,323.846,0.00308789,318.231,156.138,2.65114
10.0222,312.479,0.00320022,311.738,156.266,2.65616
10.0412,301.341,0.00331849,305.349,156.395,2.66118
10.0602,290.855,0.00343814,298.7,156.525,2.66621
10.0792,281.388,0.00355381,291.673,156.656,2.67123
10.0982,272.065,0.00367559,284.347,156.788,2.67625
10.1172,265.173,0.00377113,276.91,156.92,2.68128
10.1362,259.331,0.00385607,269.58,157.053,2.6863
10.1552,254.562,0.00392832,262.543,157.188,2.69132
10.1742,250.56,0.00399106,255.916,157.323,2.69635
10.1932,247.217,0.00404504,249.744,157.458,2.70137
10.2122,244.19,0.00409517,244.011,157.595,2.70639
10.2312,240.37,0.00416025,238.658,157.733,2.71141
10.2502,236.781,0.00422331,233.613,157.871,2.71644
10.2692,232.847,0.00429466,228.81,158.011,2.72146
10.2882,228.648,0.00437353,224.207,158.151,2.72648
10.3072,224.562,0.0044531,219.792,158.292,2.7315
10.3262,220.236,0.00454058,215.574,158.434,2.73653
10.3452,216.126,0.00462694,211.578,158.576,2.74155
10.3642,212.52,0.00470544,207.832,158.72,2.74657
10.3832,209.06,0.00478331,204.355,158.864,2.75159
10.4022,205.825,0.00485849,201.159,159.009,2.75661
10.4212,202.33,0.00494243,198.245,159.155,2.76164
10.4402,198.873,0.00502834,195.606,159.302,2.76666
10.4592,195.834,0.00510635,193.229,159.45,2.77168
10.4782,193.178,0.00517658,191.094,159.598,2.7767
10.4972,190.596,0.00524669,189.184,159.748,2.78172
10.5162,188.326,0.00530994,187.477,159.898,2.78674
10.5352,186.234,0.00536958,185.956,160.049,2.79177
10.5542,184.605,0.00541698,184.6,160.201,2.79679
10.5732,182.874,0.00546826,183.395,160.353,2.80181
10.5923,181.242,0.0055175,182.325,160.506,2.80683
10.6113,179.803,0.00556163,181.376,160.661,2.81185
10.6303,178.561,0.00560032,180.536,160.816,2.81687
10.6493,177.602,0.00563057,179.795,160.971,2.82189
10.6683,176.414,0.00566847,179.144,161.128,2.82691
10.6873,175.506,0.00569781,178.575,161.285,2.83193
10.7063,174.842,0.00571945,178.08,161.443,2.83695
10.7253,174.405,0.00573377,177.653,161.602,2.84198
10.7443,173.932,0.00574937,177.29,161.762,2.847
10.7633,173.627,0.00575947,176.985,161.922,2.85202
10.7823,173.373,0.00576791,176.734,162.083,2.85704
10.8013,173.764,0.00575492,176.535,162.245,2.86206
10.8203,173.971,0.0057481,176.383,162.407,2.86708
10.8393,174.735,0.00572296,176.276,162.57,2.8721
10.8583,175.258,0.00570586,176.211,162.734,2.87712
10.8773,176.389,0.00566929,176.185,162.899,2.88214
10.8963,177.364,0.00563814,176.196,163.064,2.88716
10.9153,178.539,0.00560103,176.24,163.23,2.89218
10.9343,179.413,0.00557374,176.313,163.397,2.8972
10.9533,180.601,0.00553706,176.411,163.564,2.90222
10.9723,181.217,0.00551824,176.528,163.732,2.90724
10.9913,181.608,0.00550638,176.658,163.901,2.91226
11.0103,181.56,0.00550781,176.793,164.07,2.91728
11.0293,181.239,0.00551758,176.923,164.24,2.92229
11.0483,180.311,0.00554597,177.04,164.411,2.92731
11.0673,179.045,0.00558519,177.133,164.582,2.93233
11.0863,177.59,0.00563094,177.194,164.754,2.93735
11.1053,177.012,0.00564934,177.217,164.926,2.94237
11.1243,176.75,0.00565771,177.198,165.099,2.94739
11.1433,177.105,0.00564638,177.136,165.272,2.95241
11.1623,176.511,0.00566538,177.036,165.446,2.95743
11.1814,176.036,0.00568065,176.902,165.621,2.96245
11.2004,175.678,0.00569223,176.742,165.796,2.96746
11.2194,175.644,0.00569334,176.566,165.971,2.97248
11.2384,175.905,0.00568488,176.379,166.147,2.9775
11.2574,176.268,0.00567318,176.19,166.324,2.98252
11.2764,176.587,0.00566293,176.003,166.5,2.98754
11.2954,176.842,0.00565475,175.822,166.678,2.99256
11.3144,177.381,0.00563759,175.65,166.856,2.99757
11.3334,177.401,0.00563696,175.488,167.034,3.00259
11.3524,177.489,0.00563414,175.337,167.212,3.00761
11.3714,177.735,0.00562636,175.195,167.391,3.01263
11.3904,178.314,0.00560809,175.063,167.571,3.01765
