"Histogram","PWDR 1_ReMoB2_0bars_0p2GPa_S_P1_C1_D1w_010.fxye Bank 1"
"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam",  0.413263
"Instparm: Polariz.",      0.99
"Instparm: Azimuth",      0.00
"Instparm: Zero", -0.000383
"Instparm: U",    234.80
"Instparm: V",    -21.61
"Instparm: W",      7.33
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Samparm: InstrName",
"Samparm: Scale",      0.04
"Samparm: Type",Debye-Scherrer
"Samparm: DisplaceX",    -43.90
"Samparm: DisplaceY",    -55.13
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
4.01712,154.818,0.00645918,154.554,154.463,1.06585
4.03612,154.341,0.00647917,154.327,154.237,1.07089
4.05513,154.142,0.00648752,154.103,154.014,1.07593
4.07413,153.848,0.00649987,153.881,153.792,1.08097
4.09313,153.234,0.00652594,153.662,153.573,1.08601
4.11214,153.016,0.00653523,153.445,153.356,1.09105
4.13114,153.181,0.00652826,153.23,153.142,1.09609
4.15014,153.408,0.00651856,153.019,152.931,1.10113
4.16915,153.633,0.006509,152.81,152.722,1.10617
4.18815,153.581,0.0065112,152.604,152.516,1.11121
4.20715,152.883,0.00654094,152.401,152.313,1.11625
4.22616,152.304,0.00656587,152.2,152.113,1.12129
4.24516,151.705,0.0065918,152.003,151.916,1.12633
4.26416,152.265,0.00656747,151.809,151.722,1.13137
4.28317,152.71,0.00654835,151.618,151.531,1.13641
4.30217,152.587,0.00655365,151.431,151.343,1.14144
4.32117,151.938,0.00658165,151.246,151.158,1.14648
4.34018,151.264,0.0066109,151.065,150.977,1.15152
4.35918,150.898,0.00662694,150.887,150.798,1.15656
4.37818,151.45,0.00660284,150.713,150.624,1.1616
4.39719,151.24,0.00661197,150.541,150.452,1.16664
4.41619,151.534,0.00659919,150.374,150.284,1.17168
4.43519,151.163,0.00661541,150.209,150.119,1.17672
4.4542,150.948,0.00662479,150.048,149.957,1.18176
4.4732,150.587,0.00664067,149.89,149.799,1.1868
4.4922,150.4,0.0066489,149.735,149.644,1.19183
4.51121,149.853,0.00667315,149.584,149.492,1.19687
4.53021,149.587,0.00668505,149.436,149.344,1.20191
4.54921,149.997,0.00666683,149.292,149.199,1.20695
4.56822,149.981,0.00666748,149.151,149.057,1.21199
4.58722,150.09,0.00666269,149.013,148.918,1.21703
4.60622,149.535,0.00668745,148.878,148.783,1.22207
4.62523,149.13,0.00670554,148.747,148.651,1.22711
4.64423,148.631,0.00672811,148.619,148.522,1.23214
4.66323,148.654,0.006727,148.494,148.397,1.23718
4.68224,148.755,0.00672248,148.372,148.275,1.24222
4.70124,148.728,0.00672369,148.254,148.155,1.24726
4.72024,148.549,0.00673175,148.138,148.039,1.2523
4.73924,148.626,0.00672833,148.026,147.926,1.25733
4.75825,147.969,0.00675823,147.917,147.816,1.26237
4.77725,147.67,0.00677181,147.81,147.709,1.26741
